Issue ID,Issue Body,issue of User,commitID,Commit Subject,Semantic Confidence Level,Syntactic Confidence Level
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9163,fix ValueError for adversarial_text,moneypi,2986bcaf,replace tf.compat.v1.logging with absl.logging for deep_speech (#9222),2,0
9163,fix ValueError for adversarial_text,moneypi,7d40b2ac,fix ValueError for adversarial_text (#9163),3,1
9163,fix ValueError for adversarial_text,moneypi,3311242a,1. update to tf2.x for deep_speech (#8696),2,0
9163,fix ValueError for adversarial_text,moneypi,20f31bf6,"fix ""No module named 'official.utils.logs'"" for deep_speech (#8687)",2,1
9163,fix ValueError for adversarial_text,moneypi,8722f59f,update a3c_cartpole.py to tf2.x (#8662),2,0
9163,fix ValueError for adversarial_text,moneypi,c3b4ffc5,fix no attribute 'per_replica_batch_size' (#8406),2,1
9163,fix ValueError for adversarial_text,moneypi,b95064af,"fix ""Unknown command line flag 'export_dir'"" (#8152)",2,1
9153,Initial checkin of sequence_projection,thunderfyc,f91b59c6,Initial checkin of sequence_projection (#9153),3,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,cfb7ef9e,Update docs to link to training and evaluation (#8859),2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,42bb922c,Update generate_embedding_data.py,2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,d4f8a2a2,Remove stale references in ducks colab (#8833),2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,4aac16f6,Inference colab with updated checkpoints (#8831),2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,950ebc45,Interactive Ducks Colab (#8821),2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,b9160cc6,With keypoints: Inference TF2 colab (#8819),2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,783f3375,TF2 Inference Colab for External (#8810),2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,c96e5d5b,TF2 eager object detection colab,2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,b978005f,Rename context_rcnn_lib_test.py to context_rcnn_lib_test_tf1.py,2,0
9120,Context R-CNN TF 2: move batch norm between dense and activation,kmindspark,cc5a7980,revert properly (#8751),2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,cfb7ef9e,Update docs to link to training and evaluation (#8859),2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,42bb922c,Update generate_embedding_data.py,2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,d4f8a2a2,Remove stale references in ducks colab (#8833),2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,4aac16f6,Inference colab with updated checkpoints (#8831),2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,950ebc45,Interactive Ducks Colab (#8821),2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,b9160cc6,With keypoints: Inference TF2 colab (#8819),2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,783f3375,TF2 Inference Colab for External (#8810),2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,c96e5d5b,TF2 eager object detection colab,2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,b978005f,Rename context_rcnn_lib_test.py to context_rcnn_lib_test_tf1.py,2,0
9097,context R-CNN bugfix and documentation fix,kmindspark,cc5a7980,revert properly (#8751),2,0
9091,a small typo in the read me file,sshahrokhi,f08e9862,a small typo in the read me file,2,0
9091,a small typo in the read me file,sshahrokhi,f08e9862,a small typo in the read me file,2,0
9091,a small typo in the read me file,sshahrokhi,f08e9862,a small typo in the read me file,2,0
9086,exporter final version,kmindspark,cfb7ef9e,Update docs to link to training and evaluation (#8859),2,0
9086,exporter final version,kmindspark,42bb922c,Update generate_embedding_data.py,2,0
9086,exporter final version,kmindspark,d4f8a2a2,Remove stale references in ducks colab (#8833),2,0
9086,exporter final version,kmindspark,4aac16f6,Inference colab with updated checkpoints (#8831),2,0
9086,exporter final version,kmindspark,950ebc45,Interactive Ducks Colab (#8821),2,0
9086,exporter final version,kmindspark,b9160cc6,With keypoints: Inference TF2 colab (#8819),2,0
9086,exporter final version,kmindspark,783f3375,TF2 Inference Colab for External (#8810),2,0
9086,exporter final version,kmindspark,c96e5d5b,TF2 eager object detection colab,2,0
9086,exporter final version,kmindspark,b978005f,Rename context_rcnn_lib_test.py to context_rcnn_lib_test_tf1.py,2,0
9086,exporter final version,kmindspark,cc5a7980,revert properly (#8751),2,0
9086,exporter final version,kmindspark,cfb7ef9e,Update docs to link to training and evaluation (#8859),2,0
9086,exporter final version,kmindspark,42bb922c,Update generate_embedding_data.py,2,0
9086,exporter final version,kmindspark,d4f8a2a2,Remove stale references in ducks colab (#8833),2,0
9086,exporter final version,kmindspark,4aac16f6,Inference colab with updated checkpoints (#8831),2,0
9086,exporter final version,kmindspark,950ebc45,Interactive Ducks Colab (#8821),2,0
9086,exporter final version,kmindspark,b9160cc6,With keypoints: Inference TF2 colab (#8819),2,0
9086,exporter final version,kmindspark,783f3375,TF2 Inference Colab for External (#8810),2,0
9086,exporter final version,kmindspark,c96e5d5b,TF2 eager object detection colab,2,0
9086,exporter final version,kmindspark,b978005f,Rename context_rcnn_lib_test.py to context_rcnn_lib_test_tf1.py,2,0
9086,exporter final version,kmindspark,cc5a7980,revert properly (#8751),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,b62439d7,Merge pull request #7712 from madhurapande19:patch-1,2,1
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,2791e600,Merge pull request #7677 from minoring:mnist-support-tf2.0,2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,13feba3c,Merged commit includes the following changes: (#7191),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,5175b7e6,Merged commit includes the following changes: (#7141),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,5afa9569,Merged commit includes the following changes: (#7119),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,a156e203,Merged commit includes the following changes: (#7100),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,240623ac,Merged commit includes the following changes: (#7093),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,1636acc9,Merged commit includes the following changes: (#7068),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,e0e6d981,Merged commit includes the following changes: (#7060),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,a1c47f28,Merged commit includes the following changes: (#7049),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,3eb7cbbc,Merged commit includes the following changes: (#7013),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,e7b4d364,Merged commit includes the following changes: (#6993),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,f2eb1701,Merged commit includes the following changes: (#6992),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,bc557d14,Merged commit includes the following changes: (#6969),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,51289259,Merged commit includes the following changes: (#6963),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,fbdbe12b,Merged commit includes the following changes: (#6952),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,15db2195,Merged commit includes the following changes: (#6926),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,fa10031d,Merged commit includes the following changes: (#6880),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,7f9db598,Merged commit includes the following changes: (#6879),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,85bdf764,Merged commit includes the following changes: (#6856),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,30d14a96,Merged commit includes the following changes: (#6847),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,b62439d7,Merge pull request #7712 from madhurapande19:patch-1,2,1
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,2791e600,Merge pull request #7677 from minoring:mnist-support-tf2.0,2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,13feba3c,Merged commit includes the following changes: (#7191),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,5175b7e6,Merged commit includes the following changes: (#7141),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,5afa9569,Merged commit includes the following changes: (#7119),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,a156e203,Merged commit includes the following changes: (#7100),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,240623ac,Merged commit includes the following changes: (#7093),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,1636acc9,Merged commit includes the following changes: (#7068),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,e0e6d981,Merged commit includes the following changes: (#7060),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,a1c47f28,Merged commit includes the following changes: (#7049),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,3eb7cbbc,Merged commit includes the following changes: (#7013),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,e7b4d364,Merged commit includes the following changes: (#6993),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,f2eb1701,Merged commit includes the following changes: (#6992),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,bc557d14,Merged commit includes the following changes: (#6969),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,51289259,Merged commit includes the following changes: (#6963),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,fbdbe12b,Merged commit includes the following changes: (#6952),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,15db2195,Merged commit includes the following changes: (#6926),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,fa10031d,Merged commit includes the following changes: (#6880),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,7f9db598,Merged commit includes the following changes: (#6879),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,85bdf764,Merged commit includes the following changes: (#6856),2,0
9085,Remove benchmark folder from the master branch. They are stale.,saberkun,30d14a96,Merged commit includes the following changes: (#6847),2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
9069,Update bert README,ChAnYaNG97,80d8da07,Update README.md,2,0
